HPV_position,15361-CB-15-LabPrep_S16,15361-CB-7-LabPrep_S49,15361-CB-6-LabPrep_S48,15361-CB-18-LabPrep_S19,15361-CB-19-LabPrep_S20
2045,6823,22515,2422,21525,1272
2046,6822,22451,2418,21536,1273
2047,6809,22427,2413,21508,1265
2048,6801,22436,2402,21499,1260
2049,6789,22360,2388,21427,1248
2050,6775,22340,2375,21392,1247
2051,6838,22469,2395,21521,1255
2052,6846,22469,2409,21518,1249
2053,6851,22474,2413,21508,1240
2054,6852,22476,2415,21503,1242
2055,6871,22487,2418,21493,1247
2056,6861,22510,2417,21489,1249
2057,6883,22513,2424,21539,1247
2058,6892,22542,2424,21594,1247
2059,6868,22472,2414,21555,1238
2060,6831,22357,2400,21466,1228
2061,6801,22299,2394,21401,1229
2062,6802,22271,2394,21366,1228
2063,6775,22232,2381,21323,1229
2064,6785,22230,2379,21358,1231
2065,6800,22266,2390,21419,1243
2066,6830,22307,2399,21515,1249
2067,6818,22287,2389,21530,1252
2068,6787,22259,2378,21515,1251
2069,6768,22221,2370,21515,1242
2070,6762,22182,2373,21479,1234
2071,6754,22166,2376,21470,1232
2072,6742,22159,2360,21473,1229
2073,6718,22098,2343,21388,1221
2074,6705,22134,2344,21459,1217
2075,6697,22088,2335,21470,1223
2076,6691,22116,2335,21477,1224
2077,6692,22114,2338,21493,1223
2078,6720,22146,2345,21603,1227
2079,6740,22150,2352,21618,1228
2080,6742,22158,2356,21627,1230
2081,6748,22154,2357,21617,1226
2082,6721,22121,2358,21604,1226
2083,6737,22170,2360,21621,1225
2084,6708,22087,2345,21546,1223
2085,6711,22082,2336,21527,1216
2086,6735,22142,2343,21589,1213
2087,6706,22066,2344,21556,1220
2088,6734,22124,2351,21607,1221
2089,6745,22148,2365,21602,1234
2090,6766,22123,2366,21642,1231
2091,6782,22100,2360,21631,1242
2092,6758,22008,2355,21591,1237
2093,6755,21994,2351,21564,1235
2094,6713,21935,2336,21484,1230
2095,6692,21846,2316,21430,1227
2096,6695,21846,2323,21469,1230
2097,6712,21891,2330,21515,1234
2098,6695,21850,2315,21517,1228
2099,6698,21855,2326,21573,1229
2100,6701,21918,2330,21622,1234
2101,6682,21889,2341,21594,1234
2102,6689,21937,2330,21615,1237
2103,6692,21893,2352,21620,1240
2104,6649,21764,2324,21540,1223
2105,6660,21777,2341,21585,1224
2106,6663,21761,2341,21588,1225
2107,6622,21693,2321,21541,1218
2108,6597,21611,2325,21507,1221
2109,6573,21536,2324,21446,1216
2110,6582,21514,2324,21464,1218
2111,6520,21324,2298,21303,1206
2112,6502,21312,2294,21280,1204
2113,6504,21278,2297,21277,1208
2114,6476,21166,2290,21221,1206
2115,6457,21124,2285,21180,1204
2116,6440,21102,2280,21160,1204
2117,6432,21054,2274,21121,1205
2118,6431,21054,2280,21133,1204
2119,6445,21025,2295,21181,1201
2120,6420,20939,2270,21127,1189
2121,6428,20977,2285,21139,1195
2122,6423,20916,2283,21126,1190
2123,6413,20891,2285,21137,1193
2124,6414,20849,2288,21164,1197
2125,6423,20833,2298,21225,1191
2126,6441,20847,2295,21257,1194
2127,6422,20824,2285,21234,1190
2128,6403,20760,2286,21226,1179
2129,6393,20733,2283,21229,1180
2130,6377,20633,2281,21158,1183
2131,6379,20594,2275,21120,1180
2132,6398,20595,2281,21183,1189
2133,6341,20482,2267,21132,1187
2134,6305,20396,2254,21044,1185
2135,6301,20322,2255,21033,1188
2136,6303,20323,2262,21041,1181
2137,6284,20271,2255,21017,1173
2138,6253,20185,2249,20970,1170
2139,6253,20164,2245,20984,1173
2140,6232,20099,2229,20959,1167
2141,6206,20006,2210,20877,1162
2142,6155,19865,2192,20787,1153
2143,6133,19827,2192,20769,1146
2144,6141,19828,2200,20827,1145
2145,6162,19826,2204,20881,1147
2146,6174,19780,2212,20893,1146
2147,6165,19742,2215,20908,1142
2148,6178,19724,2221,20942,1148
2149,6153,19685,2215,20922,1145
2150,6176,19680,2221,20980,1158
2151,6186,19655,2228,21013,1159
2152,6161,19535,2209,20898,1157
2153,6171,19505,2210,20930,1157
2154,6140,19440,2199,20903,1154
2155,6160,19416,2202,20924,1151
2156,6150,19380,2198,20924,1145
2157,6149,19357,2197,20936,1143
2158,6148,19298,2188,20925,1141
2159,6138,19243,2175,20907,1142
2160,6146,19180,2179,20905,1142
2161,6140,19087,2182,20882,1143
2162,6137,19038,2180,20886,1141
2163,6115,18950,2166,20880,1133
2164,6079,18820,2153,20829,1129
2165,6096,18757,2150,20809,1137
2166,6076,18674,2147,20767,1134
2167,6060,18572,2139,20766,1132
2168,6075,18520,2143,20795,1134
2169,6080,18464,2158,20841,1142
2170,6056,18354,2155,20745,1144
2171,6029,18272,2151,20711,1137
2172,6033,18214,2151,20741,1141
2173,6000,18085,2142,20647,1137
2174,5981,17948,2136,20577,1133
2175,5976,17854,2138,20548,1134
2176,5965,17772,2133,20559,1136
2177,5972,17750,2134,20614,1143
2178,5993,17706,2139,20707,1144
2179,5987,17604,2140,20657,1145
2180,5965,17492,2124,20592,1138
2181,5958,17451,2125,20581,1143
2182,5963,17407,2139,20610,1157
2183,5953,17312,2138,20587,1154
2184,5917,17182,2119,20536,1147
2185,5892,17074,2113,20503,1141
2186,5863,16933,2099,20383,1141
2187,5855,16880,2110,20392,1145
2188,5809,16735,2089,20313,1138
2189,5829,16701,2100,20351,1146
2190,5829,16639,2109,20351,1144
2191,5831,16576,2108,20395,1155
2192,5809,16432,2096,20299,1148
2193,5818,16347,2095,20305,1147
2194,5816,16284,2097,20325,1149
2195,5786,16087,2069,20227,1141
2196,5800,16051,2075,20297,1147
2197,5762,15887,2073,20273,1144
2198,5772,15814,2072,20292,1146
2199,5781,15790,2077,20342,1152
2200,5770,15711,2071,20343,1154
2201,5753,15647,2074,20370,1158
2202,5737,15571,2070,20369,1157
2203,5727,15517,2067,20374,1165
2204,5703,15408,2055,20343,1159
2205,5676,15309,2042,20295,1157
2206,5669,15210,2040,20266,1144
2207,5705,15216,2056,20354,1161
2208,5703,15138,2054,20366,1160
2209,5694,15071,2047,20374,1161
2210,5660,14964,2037,20346,1166
2211,5681,14928,2036,20395,1162
2212,5637,14754,2023,20310,1154
2213,5657,14758,2027,20352,1156
2214,5652,14713,2029,20364,1159
2215,5637,14621,2026,20363,1159
2216,5628,14537,2007,20297,1159
2217,5625,14499,2025,20310,1156
2218,5645,14494,2021,20335,1157
2219,5639,14391,2015,20284,1152
2220,5622,14285,2019,20248,1152
2221,5597,14191,2019,20193,1146
2222,5590,14122,2020,20187,1150
2223,5609,14111,2021,20264,1157
2224,5609,14026,2024,20279,1160
2225,5597,13967,2016,20266,1166
2226,5597,13964,2013,20300,1167
2227,5589,13920,2009,20296,1167
2228,5571,13874,1998,20288,1164
2229,5566,13782,1992,20289,1163
2230,5518,13669,1978,20224,1145
2231,5526,13644,1976,20219,1150
2232,5527,13638,1984,20254,1147
2233,5526,13625,1982,20269,1149
2234,5519,13586,1970,20229,1149
2235,5488,13513,1960,20172,1143
2236,5488,13510,1956,20233,1150
2237,5502,13505,1953,20294,1165
2238,5479,13453,1942,20293,1162
2239,5473,13463,1934,20344,1160
2240,5449,13362,1924,20297,1160
2241,5450,13319,1918,20300,1160
2242,5456,13313,1918,20318,1153
2243,5408,13187,1903,20211,1138
2244,5407,13097,1898,20167,1144
2245,5388,13041,1891,20135,1141
2246,5387,13001,1882,20117,1140
2247,5381,12944,1870,20110,1134
2248,5364,12856,1851,20046,1129
2249,5365,12757,1855,20045,1126
2250,5366,12825,1846,20027,1124
2251,5342,12767,1831,19965,1128
2252,5355,12736,1822,19977,1124
2253,5364,12699,1822,19955,1123
2254,5410,12772,1813,20064,1135
2255,5410,12805,1804,20114,1138
2256,5419,12874,1793,20181,1145
2257,5420,12877,1789,20176,1151
2258,5408,12847,1763,20139,1143
2259,5414,12910,1752,20214,1146
2260,5372,12843,1726,20189,1142
2261,5377,12870,1712,20225,1139
2262,5347,12800,1690,20158,1130
2263,5349,12838,1677,20164,1129
2264,5366,12877,1665,20199,1135
2265,5356,12849,1654,20161,1131
2266,5385,12926,1645,20208,1137
2267,5393,12960,1640,20262,1140
2268,5390,12944,1623,20256,1134
2269,5358,12829,1593,20126,1119
2270,5373,12884,1576,20164,1121
2271,5358,12874,1563,20141,1123
2272,5329,12838,1540,20083,1113
2273,5305,12804,1528,20020,1111
2274,5298,12819,1513,19997,1107
2275,5290,12848,1501,19950,1116
2276,5296,12850,1495,19950,1120
2277,5346,12938,1481,20046,1131
2278,5356,12942,1468,20086,1134
2279,5362,12985,1456,20109,1139
2280,5370,13035,1449,20158,1148
2281,5373,13099,1433,20179,1155
2282,5377,13116,1423,20163,1152
2283,5383,13147,1416,20190,1155
2284,5400,13242,1408,20253,1154
2285,5402,13274,1392,20284,1153
2286,5420,13333,1374,20289,1154
2287,5427,13378,1368,20358,1155
2288,5431,13461,1352,20375,1151
2289,5429,13451,1344,20346,1154
2290,5423,13447,1328,20316,1155
2291,5425,13441,1312,20316,1158
2292,5416,13454,1300,20307,1156
2293,5393,13438,1281,20247,1153
2294,5411,13504,1260,20284,1155
2295,5420,13560,1250,20321,1158
2296,5418,13572,1228,20269,1166
2297,5415,13604,1212,20259,1171
2298,5404,13618,1200,20258,1169
2299,5426,13734,1187,20338,1165
2300,5405,13691,1174,20270,1165
2301,5392,13695,1164,20248,1162
2302,5373,13732,1148,20216,1164
2303,5394,13786,1134,20258,1167
2304,5396,13808,1119,20241,1171
2305,5396,13830,1102,20227,1171
2306,5410,13908,1097,20277,1177
2307,5410,13928,1083,20283,1173
2308,5411,14002,1070,20309,1182
2309,5408,14010,1052,20271,1184
2310,5397,14034,1047,20218,1186
2311,5387,14013,1030,20143,1185
2312,5390,14081,1016,20161,1173
2313,5411,14179,1007,20200,1177
2314,5431,14298,996,20248,1181
2315,5438,14359,987,20244,1182
2316,5447,14414,976,20239,1180
2317,5462,14523,959,20272,1183
2318,5489,14603,949,20317,1179
2319,5525,14727,942,20362,1190
2320,5530,14788,920,20354,1188
2321,5547,14870,901,20365,1194
2322,5562,14941,885,20348,1191
2323,5592,15053,873,20381,1191
2324,5591,15155,862,20415,1190
2325,5587,15185,851,20391,1194
2326,5601,15298,831,20439,1194
2327,5574,15326,811,20374,1186
2328,5602,15441,803,20459,1189
2329,5612,15477,795,20437,1185
2330,5621,15549,781,20465,1181
2331,5605,15598,765,20462,1179
2332,5612,15657,749,20432,1178
2333,5636,15753,737,20487,1186
2334,5642,15846,725,20471,1184
2335,5690,15979,721,20539,1188
2336,5686,16046,721,20543,1183
2337,5690,16119,708,20554,1184
2338,5675,16165,686,20486,1186
2339,5711,16260,677,20533,1187
2340,5712,16372,659,20531,1190
2341,5712,16360,641,20532,1186
2342,5735,16599,638,20592,1187
2343,5746,16713,628,20656,1192
2344,5798,16879,617,20767,1207
2345,5811,17069,603,20757,1207
2346,5850,17162,593,20807,1208
2347,5857,17238,584,20803,1215
2348,5859,17290,570,20749,1205
2349,5879,17360,558,20756,1212
2350,5847,17397,538,20660,1199
2351,5873,17509,534,20683,1205
2352,5879,17585,519,20717,1210
2353,5868,17629,504,20696,1204
2354,5909,17779,490,20738,1216
2355,5907,17889,476,20715,1207
2356,5954,18024,470,20790,1206
2357,5952,18045,461,20731,1209
2358,5975,18172,451,20806,1212
2359,5977,18264,431,20831,1214
2360,5958,18305,411,20749,1205
2361,5990,18400,390,20758,1209
2362,5996,18458,383,20726,1212
2363,6023,18554,370,20759,1215
2364,6017,18604,361,20694,1202
2365,6029,18722,352,20718,1206
2366,6084,18877,339,20805,1220
2367,6097,18944,327,20817,1218
2368,6097,19037,312,20824,1225
2369,6087,19068,301,20782,1223
2370,6089,19055,283,20714,1213
2371,6129,19173,280,20791,1229
2372,6153,19260,262,20803,1232
2373,6164,19370,252,20824,1233
2374,6214,19508,243,20872,1232
2375,6252,19640,235,20933,1241
2376,6245,19667,224,20900,1233
2377,6240,19715,213,20895,1243
2378,6255,19801,202,20939,1244
2379,6264,19897,187,20957,1242
2380,6252,19919,168,20902,1243
2381,6268,19986,155,20910,1238
2382,6273,20012,137,20880,1237
2383,6282,20041,115,20871,1239
2384,6320,20144,104,20928,1242
2385,6302,20168,92,20875,1235
2386,6320,20256,88,20941,1237
2387,6342,20323,82,20976,1235
2388,6367,20440,70,21008,1245
2389,6403,20567,66,21058,1252
2390,6413,20594,57,21072,1249
2391,6433,20731,52,21170,1259
2392,6459,20849,49,21254,1265
2393,6446,20861,35,21192,1262
2394,6439,20888,20,21172,1261
2395,6474,20957,12,21218,1265
2396,6488,21054,10,21247,1268
2397,6540,21188,10,21316,1272
2398,6525,21204,5,21321,1274
2399,6518,21262,5,21333,1272
2400,6550,21374,4,21384,1277
2401,6538,21409,5,21386,1281
2402,6577,21533,5,21459,1281
2403,6570,21535,4,21431,1278
2404,6588,21603,4,21426,1271
2405,6604,21662,3,21478,1270
2406,6610,21688,3,21435,1259
2407,6664,21809,3,21506,1269
2408,6675,21795,0,21466,1270
2409,6703,21886,0,21511,1280
2410,6711,21930,0,21488,1292
2411,6726,21987,0,21496,1286
2412,6727,22011,0,21471,1286
2413,6715,22014,0,21466,1278
2414,6731,22069,0,21489,1287
2415,6737,22139,0,21518,1293
2416,6748,22143,0,21492,1296
2417,6766,22177,0,21491,1303
2418,6757,22216,0,21496,1299
2419,6773,22240,0,21512,1299
2420,6779,22237,0,21495,1301
2421,6757,22182,0,21435,1296
2422,6816,22347,0,21562,1297
2423,6801,22357,0,21504,1291
2424,6835,22458,0,21630,1297
2425,6852,22495,0,21625,1298
2426,6881,22575,0,21679,1295
2427,6869,22538,0,21622,1289
2428,6886,22584,0,21649,1290
2429,6911,22623,0,21701,1282
2430,6885,22567,0,21617,1278
2431,6886,22568,0,21573,1283
2432,6891,22600,0,21613,1288
2433,6896,22621,0,21616,1290
2434,6895,22629,0,21593,1286
2435,6898,22703,0,21639,1287
2436,6897,22667,0,21624,1281
2437,6901,22674,0,21617,1290
2438,6907,22653,0,21590,1295
2439,6897,22629,0,21519,1284
2440,6905,22693,0,21549,1287
2441,6896,22677,0,21502,1280
2442,6913,22722,0,21515,1272
2443,6914,22724,0,21518,1271
2444,6921,22741,0,21533,1279
2445,6937,22790,0,21575,1281
2446,6913,22788,0,21548,1281
2447,6925,22841,0,21587,1284
2448,6939,22949,0,21658,1288
2449,6946,22967,0,21664,1290
2450,6956,22952,0,21598,1289
2451,6970,23015,0,21617,1286
2452,6978,23056,0,21642,1294
2453,7028,23158,0,21710,1299
2454,7018,23183,0,21711,1293
2455,7007,23169,0,21689,1283
2456,7046,23279,0,21791,1291
2457,7077,23266,0,21783,1288
2458,7085,23275,0,21774,1290
2459,7102,23371,0,21837,1294
2460,7068,23261,0,21733,1290
2461,7119,23355,0,21790,1292
2462,7121,23375,0,21781,1299
2463,7121,23384,0,21772,1300
2464,7100,23400,0,21770,1297
2465,7112,23423,0,21770,1298
2466,7100,23461,0,21794,1298
2467,7061,23418,0,21736,1294
2468,7051,23504,0,21773,1295
2469,7028,23530,0,21747,1292
2470,7031,23567,0,21762,1298
2471,7063,23637,0,21822,1298
2472,7057,23604,0,21774,1298
2473,7049,23618,0,21791,1301
2474,7074,23653,0,21840,1308
2475,7047,23662,0,21820,1307
2476,7049,23700,0,21819,1310
2477,7069,23742,0,21865,1317
2478,7069,23702,0,21818,1311
2479,7074,23715,0,21816,1313
2480,7080,23764,0,21877,1317
2481,7095,23812,0,21947,1324
2482,7092,23882,0,21968,1330
2483,7078,23822,0,21934,1333
2484,7058,23773,0,21874,1332
2485,7085,23842,2,21903,1340
2486,7075,23859,2,21916,1345
2487,7057,23855,2,21880,1339
2488,7063,23772,2,21833,1337
2489,7050,23747,2,21783,1332
2490,7022,23668,3,21718,1317
2491,7024,23633,3,21689,1319
2492,7008,23598,6,21637,1316
2493,6991,23554,6,21647,1314
2494,6991,23559,6,21670,1314
2495,7003,23620,7,21716,1314
2496,7008,23630,7,21743,1312
2497,7026,23688,9,21770,1309
2498,7026,23645,9,21786,1309
2499,7040,23698,15,21837,1311
2500,7059,23754,23,21900,1317
2501,7073,23774,32,21925,1316
2502,7091,23738,37,21950,1326
2503,7111,23823,38,22038,1324
2504,7110,23826,44,22025,1323
2505,7111,23839,38,22015,1321
2506,7135,23893,67,22078,1320
2507,7166,23912,102,22098,1329
2508,7142,23853,103,22058,1333
2509,7136,23874,106,22074,1323
2510,7122,23848,118,22040,1316
2511,7098,23777,131,21998,1315
2512,7123,23871,157,22094,1319
2513,7127,23882,183,22119,1315
2514,7112,23860,210,22083,1312
2515,7105,23857,216,22108,1307
2516,7091,23777,226,22050,1305
2517,7101,23808,258,22096,1309
2518,7065,23713,274,22007,1302
2519,7067,23743,296,22047,1304
2520,7080,23794,308,22096,1314
2521,7047,23728,319,22090,1314
2522,7028,23728,326,22052,1308
2523,7006,23673,331,22024,1300
2524,7029,23696,343,22085,1305
2525,7047,23710,360,22145,1302
2526,7050,23699,378,22143,1300
2527,7081,23797,396,22234,1305
2528,7070,23799,405,22218,1303
2529,7056,23738,415,22163,1298
2530,7064,23777,434,22217,1295
2531,7048,23753,449,22200,1298
2532,7069,23788,466,22275,1303
2533,7059,23773,481,22276,1304
2534,7034,23712,492,22222,1300
2535,7026,23668,501,22167,1297
2536,7029,23650,512,22194,1294
2537,7036,23659,520,22200,1301
2538,7040,23642,531,22204,1301
2539,7014,23584,541,22189,1294
2540,6981,23542,555,22199,1289
2541,6995,23491,564,22165,1286
2542,7013,23511,580,22247,1284
2543,7048,23560,600,22297,1299
2544,7057,23524,619,22307,1305
2545,7075,23570,630,22333,1310
2546,7081,23491,642,22309,1312
2547,7099,23480,655,22301,1316
2548,7106,23493,676,22328,1314
2549,7092,23467,685,22329,1309
2550,7111,23471,695,22349,1316
2551,7118,23460,704,22349,1316
2552,7109,23463,708,22360,1319
2553,7089,23401,711,22343,1321
2554,7097,23403,736,22386,1326
2555,7092,23374,768,22380,1327
2556,7088,23368,783,22407,1325
2557,7110,23401,796,22421,1327
2558,7135,23447,815,22488,1335
2559,7154,23435,836,22512,1335
2560,7165,23460,849,22608,1330
2561,7163,23400,859,22592,1330
2562,7153,23350,878,22576,1328
2563,7175,23359,888,22591,1325
2564,7209,23385,908,22635,1326
2565,7207,23339,921,22593,1320
2566,7185,23315,940,22571,1316
2567,7215,23351,961,22606,1321
2568,7198,23302,974,22569,1317
2569,7196,23271,985,22569,1323
2570,7248,23352,1010,22678,1339
2571,7210,23273,1021,22609,1332
2572,7217,23260,1046,22595,1330
2573,7226,23302,1059,22658,1329
2574,7224,23322,1072,22699,1325
2575,7218,23298,1081,22669,1323
2576,7243,23282,1098,22644,1330
2577,7250,23294,1112,22665,1323
2578,7236,23240,1119,22630,1314
2579,7242,23212,1133,22640,1310
2580,7221,23169,1148,22582,1307
2581,7245,23191,1164,22594,1305
2582,7219,23135,1177,22588,1310
2583,7232,23170,1195,22602,1315
2584,7265,23197,1221,22662,1323
2585,7292,23196,1233,22670,1323
2586,7276,23107,1243,22620,1319
2587,7272,23127,1260,22603,1311
2588,7265,23084,1265,22582,1303
2589,7238,23085,1285,22582,1303
2590,7252,23066,1298,22571,1304
2591,7252,23082,1318,22564,1307
2592,7258,23044,1330,22545,1307
2593,7246,23059,1345,22590,1304
2594,7266,23065,1361,22594,1299
2595,7274,23038,1385,22579,1295
2596,7274,23034,1400,22606,1293
2597,7291,23064,1413,22655,1297
2598,7302,23018,1428,22618,1292
2599,7330,23070,1459,22691,1291
2600,7328,23041,1466,22664,1282
2601,7341,23009,1479,22629,1275
2602,7340,23026,1488,22641,1270
2603,7329,23005,1494,22606,1278
2604,7329,23001,1507,22626,1280
2605,7317,22975,1528,22616,1270
2606,7321,23012,1546,22610,1264
2607,7311,23014,1559,22582,1259
2608,7306,22925,1573,22546,1260
2609,7351,22986,1590,22633,1265
2610,7356,22959,1607,22628,1266
2611,7377,22950,1628,22664,1266
2612,7369,22911,1639,22652,1257
2613,7366,22869,1653,22617,1251
2614,7380,22845,1672,22619,1245
2615,7371,22813,1685,22588,1239
2616,7373,22797,1708,22536,1233
2617,7396,22802,1726,22557,1234
2618,7381,22738,1739,22486,1233
2619,7382,22763,1753,22482,1236
2620,7360,22737,1761,22447,1226
2621,7402,22760,1781,22451,1227
2622,7421,22759,1794,22456,1234
2623,7426,22745,1806,22479,1234
2624,7458,22780,1832,22509,1234
2625,7463,22722,1845,22467,1231
2626,7478,22749,1863,22458,1222
2627,7501,22809,1897,22489,1222
2628,7520,22832,1913,22523,1215
2629,7530,22852,1935,22518,1223
2630,7549,22882,1954,22546,1218
2631,7607,22911,1974,22603,1219
2632,7605,22962,1988,22604,1214
2633,7616,22959,2006,22612,1212
2634,7568,22826,2024,22559,1198
2635,7556,22832,2056,22534,1198
2636,7580,22831,2076,22530,1192
2637,7582,22836,2079,22520,1196
2638,7574,22822,2100,22478,1186
2639,7588,22875,2128,22527,1195
2640,7589,22943,2147,22577,1197
2641,7617,22913,2152,22556,1200
2642,7638,22944,2167,22606,1201
2643,7658,22971,2180,22649,1205
2644,7637,22903,2184,22608,1197
2645,7653,22931,2185,22628,1194
2646,7648,22912,2199,22612,1184
2647,7655,22908,2213,22591,1184
2648,7696,22987,2222,22622,1194
2649,7688,22964,2221,22608,1194
2650,7668,22833,2233,22554,1192
2651,7644,22892,2237,22471,1182
2652,7663,22979,2243,22514,1178
2653,7666,23001,2253,22511,1178
2654,7645,22957,2256,22436,1170
2655,7660,23012,2270,22439,1169
2656,7645,22988,2276,22385,1162
2657,7682,23016,2279,22421,1162
2658,7663,22966,2277,22334,1155
2659,7665,23026,2283,22382,1156
2660,7695,23077,2297,22385,1166
2661,7712,23100,2297,22403,1164
2662,7685,23035,2303,22364,1160
2663,7696,23037,2311,22332,1156
2664,7702,23043,2313,22281,1161
2665,7717,23050,2322,22280,1167
2666,7748,23113,2344,22284,1174
2667,7756,23165,2354,22309,1178
2668,7754,23191,2359,22274,1180
2669,7797,23258,2371,22336,1183
2670,7798,23273,2382,22356,1182
2671,7804,23286,2387,22362,1183
2672,7805,23320,2401,22378,1192
2673,7830,23365,2403,22397,1201
2674,7813,23319,2415,22360,1198
2675,7846,23395,2419,22387,1206
2676,7838,23467,2423,22406,1214
2677,7835,23447,2420,22358,1211
2678,7880,23526,2430,22414,1215
2679,7880,23501,2417,22359,1211
2680,7899,23515,2430,22358,1207
2681,7919,23571,2450,22396,1211
2682,7944,23596,2456,22372,1213
2683,7935,23611,2450,22359,1211
2684,7919,23598,2446,22344,1205
2685,7936,23634,2454,22356,1200
2686,7935,23629,2452,22313,1194
2687,7954,23746,2461,22328,1187
2688,7977,23770,2473,22299,1187
2689,7964,23776,2485,22244,1183
2690,7974,23796,2492,22253,1186
2691,7970,23763,2486,22225,1176
2692,7954,23747,2489,22261,1170
2693,7957,23808,2485,22282,1170
2694,7978,23882,2480,22284,1174
2695,7960,23892,2480,22219,1173
2696,7974,23945,2480,22228,1175
2697,8003,24024,2484,22272,1182
2698,7991,23949,2468,22128,1177
2699,7991,24010,2484,22188,1175
2700,8042,24122,2497,22299,1187
2701,8059,24164,2504,22303,1188
2702,8057,24221,2513,22327,1192
2703,8086,24280,2510,22331,1189
2704,8080,24345,2516,22326,1193
2705,8112,24423,2524,22382,1207
2706,8098,24421,2527,22327,1206
2707,8097,24449,2522,22318,1203
2708,8057,24319,2510,22184,1180
2709,8086,24379,2521,22228,1191
2710,8082,24374,2524,22198,1186
2711,8064,24357,2514,22134,1183
2712,8010,24262,2500,22050,1177
2713,8007,24316,2489,22016,1176
2714,7980,24266,2482,21927,1163
2715,8013,24382,2491,22033,1164
2716,8005,24415,2497,22021,1166
2717,7975,24352,2470,21984,1156
2718,7961,24427,2477,21997,1159
2719,7949,24391,2474,21962,1155
2720,7963,24422,2475,21941,1152
2721,7973,24464,2476,21968,1150
2722,7979,24478,2481,21960,1152
2723,7978,24483,2477,21933,1148
2724,7988,24482,2480,21905,1147
2725,7999,24514,2481,21978,1149
2726,8011,24544,2484,21980,1153
2727,7988,24484,2486,21938,1149
2728,8051,24614,2489,22034,1163
2729,8061,24638,2485,22072,1165
2730,8079,24660,2479,22087,1162
2731,8074,24641,2471,22037,1161
2732,8103,24769,2479,22086,1166
2733,8094,24748,2471,22073,1158
2734,8081,24712,2477,22026,1162
2735,8125,24812,2483,22156,1171
2736,8140,24798,2479,22134,1171
2737,8129,24810,2477,22116,1169
2738,8170,24855,2478,22183,1178
2739,8184,24892,2482,22184,1176
2740,8189,24856,2458,22155,1175
2741,8189,24895,2456,22191,1179
2742,8178,24906,2454,22178,1177
2743,8186,24886,2457,22150,1175
2744,8187,24912,2455,22146,1171
2745,8199,24969,2452,22168,1169
2746,8200,24945,2443,22119,1171
2747,8216,24998,2445,22140,1171
2748,8194,24973,2448,22082,1173
2749,8187,24979,2442,22038,1171
2750,8150,24848,2434,21950,1173
2751,8179,24938,2422,22004,1179
2752,8200,24988,2410,22023,1183
2753,8218,25033,2409,22064,1186
2754,8234,25092,2400,22109,1189
2755,8232,25121,2394,22122,1197
2756,8265,25217,2388,22189,1209
2757,8266,25229,2370,22181,1210
2758,8259,25178,2360,22147,1208
2759,8271,25222,2336,22164,1206
2760,8270,25225,2322,22152,1200
2761,8240,25162,2299,22081,1197
2762,8228,25116,2276,22056,1201
2763,8255,25135,2257,22067,1204
2764,8267,25159,2242,22103,1205
2765,8274,25230,2225,22141,1212
2766,8274,25180,2210,22094,1209
2767,8298,25289,2203,22164,1226
2768,8323,25310,2192,22201,1232
2769,8326,25280,2176,22181,1218
2770,8325,25313,2163,22232,1222
2771,8321,25309,2150,22277,1224
2772,8312,25360,2142,22321,1228
2773,8309,25409,2115,22318,1218
2774,8295,25366,2097,22291,1212
2775,8304,25358,2075,22272,1210
2776,8308,25387,2045,22264,1219
2777,8258,25343,2017,22237,1218
2778,8249,25346,2008,22247,1223
2779,8240,25303,1986,22193,1220
2780,8257,25380,1970,22227,1223
2781,8278,25427,1955,22225,1226
2782,8232,25353,1931,22129,1217
2783,8217,25323,1905,22138,1223
2784,8204,25305,1881,22105,1219
2785,8204,25301,1865,22124,1220
2786,8218,25329,1839,22140,1225
2787,8252,25348,1823,22192,1226
2788,8241,25363,1817,22208,1230
2789,8228,25342,1797,22189,1227
2790,8210,25311,1769,22179,1230
2791,8218,25257,1745,22134,1229
2792,8229,25297,1721,22126,1226
2793,8203,25316,1710,22159,1234
2794,8187,25282,1698,22145,1235
2795,8125,25196,1668,22059,1226
2796,8143,25225,1655,22092,1229
2797,8131,25199,1640,22073,1231
2798,8184,25316,1623,22197,1239
2799,8176,25294,1616,22186,1247
2800,8196,25252,1587,22181,1253
2801,8227,25372,1577,22289,1260
2802,8240,25357,1553,22292,1262
2803,8236,25374,1526,22278,1267
2804,8241,25405,1512,22313,1268
2805,8241,25376,1499,22324,1273
2806,8225,25372,1486,22372,1273
2807,8218,25346,1475,22401,1277
2808,8239,25366,1453,22426,1280
2809,8288,25451,1445,22480,1280
2810,8285,25471,1422,22503,1287
2811,8323,25535,1408,22553,1285
2812,8326,25519,1383,22537,1283
2813,8320,25484,1345,22509,1279
2814,8293,25407,1319,22467,1270
2815,8316,25442,1315,22504,1266
2816,8312,25417,1285,22496,1261
2817,8311,25395,1260,22512,1260
2818,8319,25345,1247,22484,1254
2819,8357,25400,1233,22526,1262
2820,8353,25387,1209,22526,1258
2821,8355,25433,1192,22570,1257
2822,8357,25440,1173,22525,1257
2823,8413,25507,1146,22625,1262
2824,8422,25475,1132,22596,1255
2825,8360,25342,1105,22500,1258
2826,8400,25401,1089,22590,1267
2827,8349,25271,1077,22457,1266
2828,8374,25356,1064,22514,1276
2829,8350,25291,1041,22479,1275
2830,8355,25329,1026,22526,1280
