HPV_position,15361-CB-10-LabPrep_S11,15361-CB-11-LabPrep_S12,15361-CB-12-LabPrep_S13,15361-CB-13-LabPrep_S14,15361-CB-14-LabPrep_S15,15361-CB-15-LabPrep_S16,15361-CB-16-LabPrep_S17,15361-CB-17-LabPrep_S18,15361-CB-18-LabPrep_S19,15361-CB-19-LabPrep_S20,15361-CB-1-LabPrep_S10,15361-CB-20-LabPrep_S22,15361-CB-21-LabPrep_S23,15361-CB-23-LabPrep_S25,15361-CB-24-LabPrep_S26,15361-CB-26-LabPrep_S28,15361-CB-2-LabPrep_S21,15361-CB-30-LabPrep_S33,15361-CB-32-LabPrep_S34,15361-CB-34-LabPrep_S36,15361-CB-35-LabPrep_S37,15361-CB-38-LabPrep_S40,15361-CB-39-LabPrep_S41,15361-CB-3-LabPrep_S32,15361-CB-40-LabPrep_S43,15361-CB-42-LabPrep_S44,15361-CB-44-LabPrep_S46,15361-CB-4-LabPrep_S42,15361-CB-6-LabPrep_S48,15361-CB-7-LabPrep_S49,15361-CB-9-LabPrep_S51
591,48825,13966,37417,29004,40052,11595,13281,35439,25804,2054,17318,10854,118,22414,4306,280,55368,75,13926,3,5216,3944,21580,29412,1,17551,17964,537,3926,31465,11072
592,48798,13915,37358,28969,40002,11586,13284,35363,25674,2047,17298,10853,118,22389,4299,280,55286,76,13910,3,5207,3934,21533,29367,1,17504,17938,539,3924,31465,11057
593,48727,13884,37285,28870,39967,11553,13256,35278,25607,2033,17240,10824,118,22342,4285,279,55247,76,13846,3,5176,3935,21456,29344,1,17467,17883,539,3913,31413,11025
594,48678,13889,37300,28824,39992,11558,13252,35279,25585,2026,17262,10838,119,22327,4301,279,55238,75,13856,3,5188,3944,21465,29334,1,17468,17879,534,3912,31445,11066
595,48846,13997,37476,28984,40157,11632,13304,35456,25689,2044,17339,10921,125,22469,4338,281,55398,74,13955,3,5229,3973,21610,29481,1,17579,17961,536,3950,31575,11137
596,48839,13985,37476,28985,40185,11620,13283,35509,25670,2053,17398,10927,127,22453,4344,281,55417,75,13939,3,5242,3987,21625,29523,2,17608,17971,540,3954,31585,11137
597,48867,14018,37534,29020,40242,11635,13316,35578,25676,2053,17468,10964,128,22502,4363,283,55456,73,13966,3,5253,4010,21642,29535,2,17619,17974,542,3973,31636,11180
598,48829,13962,37500,28984,40258,11609,13262,35561,25624,2057,17438,10950,125,22464,4361,278,55465,74,13915,3,5248,3999,21627,29503,2,17568,17962,540,3952,31583,11153
599,48861,13945,37525,28991,40277,11611,13248,35536,25611,2058,17450,10927,125,22463,4355,278,55525,74,13911,3,5262,4002,21615,29507,2,17541,17960,534,3956,31615,11150
600,48773,13892,37482,28910,40189,11573,13202,35499,25532,2058,17393,10887,125,22393,4344,277,55461,76,13836,3,5257,3989,21577,29451,2,17525,17918,531,3956,31518,11081
601,48913,13911,37542,28922,40245,11621,13209,35512,25567,2064,17441,10918,126,22407,4347,279,55605,74,13880,3,5249,4011,21646,29500,2,17513,17936,532,3956,31586,11120
602,48958,13950,37602,28992,40305,11643,13223,35536,25611,2071,17468,10932,126,22440,4361,278,55663,74,13893,3,5271,4031,21663,29556,2,17557,17975,532,3960,31670,11134
603,48879,13921,37547,28929,40256,11628,13184,35497,25521,2053,17418,10906,127,22384,4345,282,55609,75,13862,3,5264,4017,21634,29508,2,17488,17950,531,3948,31575,11107
604,48969,13995,37667,29029,40339,11694,13216,35581,25589,2053,17527,10955,130,22492,4374,278,55733,78,13938,3,5312,4043,21741,29598,2,17579,18028,533,3976,31671,11166
605,48938,13996,37634,29001,40397,11708,13217,35599,25546,2065,17540,10967,132,22489,4369,277,55684,78,13949,3,5323,4040,21723,29583,2,17567,18013,537,3987,31695,11168
606,48915,14036,37666,28994,40398,11738,13220,35603,25564,2062,17557,10991,132,22473,4376,279,55700,79,13975,3,5348,4044,21758,29638,2,17601,18024,537,3995,31698,11189
607,48943,14035,37698,28986,40406,11745,13223,35643,25556,2060,17562,10993,133,22483,4383,279,55733,82,13995,3,5342,4040,21769,29643,2,17593,18018,541,3999,31718,11181
608,48920,14032,37667,29023,40404,11737,13201,35627,25534,2057,17533,11004,133,22445,4383,277,55721,83,13987,3,5319,4043,21783,29609,2,17570,18005,540,3997,31707,11169
609,48996,14097,37752,29101,40501,11788,13241,35720,25574,2054,17602,11072,131,22482,4413,279,55808,83,14045,3,5346,4058,21864,29656,2,17614,18056,540,4009,31783,11205
610,48803,13982,37655,28932,40374,11698,13127,35569,25441,2031,17525,10974,130,22304,4366,277,55680,82,13933,3,5302,4037,21791,29495,2,17495,17989,539,3969,31638,11143
611,48857,14025,37716,29015,40433,11705,13161,35596,25423,2037,17547,10987,129,22328,4391,279,55744,85,13956,3,5321,4052,21812,29560,2,17553,18014,538,3993,31683,11167
612,48768,14045,37684,29005,40406,11698,13165,35570,25391,2031,17529,11010,128,22322,4396,276,55674,86,13947,3,5325,4053,21776,29530,2,17541,17981,536,3984,31702,11178
613,48793,14069,37694,29038,40452,11729,13192,35626,25383,2029,17583,11060,130,22394,4406,277,55675,86,13996,3,5330,4066,21793,29546,2,17597,17994,538,3986,31724,11207
614,48813,14063,37730,29057,40488,11743,13184,35660,25359,2033,17591,11081,134,22414,4401,271,55738,90,13999,3,5347,4057,21789,29563,2,17611,18015,535,3989,31719,11210
615,48823,14088,37745,29044,40492,11744,13197,35706,25346,2028,17588,11081,132,22458,4409,271,55754,89,13995,3,5351,4057,21803,29573,2,17635,18014,541,3998,31734,11204
616,48810,14053,37715,28986,40489,11706,13156,35670,25273,2018,17556,11059,130,22473,4403,266,55768,89,13939,3,5343,4052,21812,29535,2,17606,17998,543,3997,31713,11162
617,48823,14034,37681,28926,40473,11691,13148,35641,25231,2012,17534,11049,131,22449,4417,265,55730,89,13925,3,5334,4047,21769,29499,2,17602,17970,545,3995,31715,11164
618,48869,14059,37668,28951,40466,11670,13145,35589,25213,2017,17508,11056,132,22442,4423,266,55704,89,13928,3,5324,4038,21712,29428,2,17586,17934,544,3993,31712,11156
619,48938,14111,37816,29040,40552,11714,13175,35712,25232,2020,17536,11097,132,22490,4448,271,55862,89,13990,3,5343,4049,21790,29505,2,17658,17978,550,4002,31805,11174
620,49000,14136,37842,29080,40622,11760,13208,35726,25224,2038,17580,11114,135,22523,4465,272,55921,89,14028,3,5344,4061,21821,29553,2,17691,17981,551,4011,31850,11201
621,48942,14123,37781,29017,40559,11753,13193,35682,25155,2032,17558,11072,133,22486,4448,271,55921,89,14026,3,5337,4051,21764,29490,2,17690,17943,546,3996,31791,11163
622,49078,14170,37869,29093,40701,11810,13237,35753,25183,2038,17612,11150,135,22540,4469,275,56051,89,14050,3,5343,4067,21836,29553,3,17741,18022,545,4010,31856,11210
623,49040,14164,37803,29056,40694,11808,13203,35771,25048,2038,17630,11146,136,22537,4481,276,56045,90,14043,3,5350,4065,21823,29522,3,17724,18022,544,4024,31837,11205
624,49078,14171,37827,29115,40764,11824,13213,35787,25138,2040,17669,11192,136,22603,4497,277,56088,90,14049,3,5364,4081,21888,29613,3,17759,18037,549,4044,31932,11227
625,49043,14171,37847,29129,40810,11808,13190,35755,25088,2036,17672,11200,136,22600,4508,280,56110,90,14022,3,5355,4091,21882,29604,3,17758,18032,551,4056,31928,11242
626,49033,14153,37793,29058,40747,11798,13150,35729,25042,2020,17623,11200,136,22551,4488,279,56099,90,13999,3,5343,4090,21838,29608,3,17679,18001,550,4053,31884,11219
627,49154,14199,37968,29188,40885,11849,13187,35880,25135,2021,17685,11229,135,22609,4509,277,56315,90,14059,3,5362,4110,21925,29691,2,17781,18077,553,4075,31980,11260
628,49084,14175,37926,29095,40816,11812,13152,35786,25060,2014,17647,11208,134,22536,4501,275,56275,92,14019,3,5356,4114,21896,29601,2,17728,18045,550,4067,31912,11229
629,49109,14222,38014,29156,40890,11841,13188,35877,25094,2014,17698,11219,136,22578,4511,277,56304,92,14026,3,5369,4136,21939,29655,3,17751,18068,551,4070,31971,11259
630,49147,14250,38026,29183,40909,11872,13178,35894,25050,2015,17696,11223,138,22567,4517,280,56342,91,14028,3,5375,4149,21960,29687,4,17797,18098,549,4085,31984,11286
631,49063,14160,37963,29102,40781,11795,13068,35748,24974,2013,17601,11160,134,22447,4482,276,56234,91,13976,3,5352,4130,21893,29591,4,17726,18031,549,4062,31886,11221
632,49099,14196,38004,29153,40809,11845,13055,35817,24959,2020,17636,11185,135,22441,4475,277,56311,91,14005,3,5357,4150,21908,29625,4,17751,18074,547,4066,31906,11238
633,49060,14171,38002,29143,40791,11860,13030,35764,24928,2012,17622,11190,135,22422,4460,278,56315,91,13989,3,5346,4130,21889,29583,4,17749,18054,547,4069,31898,11236
634,49036,14136,37981,29172,40812,11864,13035,35795,24943,2021,17629,11198,136,22426,4467,277,56306,91,13992,3,5342,4133,21906,29576,4,17715,18060,544,4073,31874,11236
635,49058,14142,38019,29202,40838,11859,13028,35825,24949,2024,17636,11228,136,22407,4466,271,56355,87,13976,3,5356,4152,21912,29555,4,17721,18057,544,4082,31879,11244
636,48973,14081,37960,29147,40787,11805,12952,35750,24889,2011,17600,11221,138,22346,4449,268,56286,85,13940,3,5336,4127,21851,29478,4,17682,17990,549,4067,31827,11232
637,49120,14135,38051,29215,40849,11876,13006,35844,24936,2018,17674,11282,139,22414,4475,270,56465,85,13990,3,5364,4148,21937,29524,4,17738,18040,547,4098,31910,11278
638,49064,14124,38026,29213,40805,11898,12978,35807,24914,2016,17656,11289,139,22389,4475,270,56479,87,13979,3,5353,4146,21883,29493,4,17748,18015,547,4106,31868,11294
639,49066,14106,37998,29181,40816,11886,12991,35795,24918,2006,17637,11304,140,22406,4477,274,56490,87,13982,3,5352,4147,21857,29467,4,17747,18000,545,4097,31859,11297
640,48990,14074,37933,29174,40790,11881,12958,35707,24883,2007,17642,11322,140,22353,4476,273,56468,87,13945,3,5345,4149,21820,29418,4,17721,17972,546,4078,31817,11318
641,48915,14041,37894,29131,40747,11858,12924,35635,24852,2004,17575,11299,140,22267,4452,271,56477,86,13912,3,5326,4138,21751,29319,4,17674,17943,542,4075,31763,11306
642,48961,14079,38008,29203,40852,11930,12961,35744,24921,2014,17659,11359,143,22322,4480,275,56623,85,13972,3,5354,4158,21799,29386,4,17763,18023,542,4091,31860,11365
643,48914,14048,37973,29185,40812,11900,12923,35697,24864,2014,17642,11366,145,22266,4463,276,56621,84,13951,3,5335,4135,21738,29322,4,17713,17975,542,4082,31797,11345
644,48818,14025,37918,29167,40794,11881,12894,35672,24789,2006,17622,11354,147,22221,4454,277,56579,83,13904,3,5320,4122,21726,29301,4,17691,17971,544,4078,31745,11332
645,48808,14051,37883,29183,40813,11912,12901,35612,24829,2006,17672,11381,148,22271,4463,276,56522,83,13900,3,5322,4119,21707,29282,4,17685,17957,541,4100,31712,11365
646,48917,14081,37951,29245,40888,11926,12945,35650,24912,2016,17745,11476,147,22362,4481,276,56653,83,13957,3,5320,4133,21761,29356,4,17734,17962,548,4133,31814,11449
647,49014,14121,38022,29285,40963,11966,12967,35701,24942,2014,17770,11544,149,22430,4497,277,56721,84,14004,3,5334,4152,21787,29423,4,17792,18023,547,4152,31857,11488
648,48935,14104,38050,29294,40948,11992,12958,35762,24959,2016,17785,11547,151,22452,4501,270,56707,87,13990,2,5327,4160,21796,29446,4,17832,18038,550,4151,31823,11474
649,48948,14120,38105,29346,40979,11992,12973,35792,25000,2021,17803,11593,153,22547,4515,272,56796,88,14015,2,5342,4164,21821,29515,4,17823,18042,555,4173,31878,11513
650,48923,14094,38061,29342,40928,11983,12933,35698,24969,2014,17786,11601,154,22531,4520,273,56805,88,13987,2,5343,4161,21805,29488,4,17805,18018,553,4168,31887,11509
651,48956,14128,38092,29397,40958,12006,12957,35732,24973,2026,17801,11675,154,22547,4551,278,56849,89,14054,2,5342,4185,21840,29515,4,17852,18062,554,4173,31929,11562
652,48946,14144,38118,29417,40969,12020,12948,35730,24982,2027,17828,11694,155,22541,4552,278,56894,89,14068,2,5366,4193,21873,29487,4,17855,18047,556,4184,31939,11584
653,49125,14223,38249,29526,41097,12089,12993,35798,25080,2027,17916,11789,159,22686,4599,278,57092,88,14166,2,5396,4232,21942,29613,4,17953,18113,563,4213,32052,11677
654,49179,14275,38270,29591,41178,12109,13010,35831,25102,2029,17970,11867,162,22715,4612,280,57172,91,14205,2,5402,4262,21956,29686,4,17977,18161,570,4234,32090,11718
655,49270,14289,38314,29635,41240,12139,13008,35915,25135,2027,17980,11895,164,22733,4615,283,57335,91,14214,2,5405,4263,21984,29732,4,17998,18171,574,4250,32083,11730
656,49281,14300,38406,29693,41285,12150,13049,35943,25166,2032,17999,11929,166,22780,4630,278,57327,87,14232,2,5425,4271,22016,29780,4,18028,18221,580,4261,32115,11755
657,49296,14300,38443,29690,41306,12149,13002,35913,25151,2034,18001,11942,164,22766,4631,278,57438,87,14227,2,5422,4265,21995,29741,4,18019,18223,580,4262,32146,11751
658,49254,14326,38516,29745,41345,12163,13006,35950,25170,2042,18043,11975,164,22810,4643,278,57479,88,14222,2,5430,4276,21994,29781,4,18063,18236,582,4280,32178,11762
659,49352,14379,38611,29837,41424,12211,13040,36038,25260,2050,18104,12044,166,22893,4665,279,57614,87,14273,2,5450,4297,22062,29831,4,18123,18275,585,4310,32291,11817
660,49318,14376,38612,29837,41387,12214,13005,36032,25249,2048,18109,12043,170,22879,4659,284,57601,87,14253,2,5428,4301,22027,29777,4,18107,18270,582,4304,32276,11824
661,49401,14390,38639,29827,41356,12210,13000,36015,25246,2044,18102,12053,171,22877,4660,286,57682,86,14275,1,5448,4310,22042,29789,4,18111,18275,590,4322,32282,11825
662,49408,14375,38617,29820,41337,12208,12967,36015,25239,2039,18092,12074,171,22845,4659,289,57719,86,14281,1,5442,4311,22043,29822,4,18091,18275,589,4321,32277,11831
663,49307,14369,38584,29811,41330,12206,12965,35996,25246,2036,18110,12093,171,22872,4665,289,57639,87,14306,1,5436,4309,21990,29790,4,18120,18268,589,4347,32262,11858
664,49258,14339,38528,29800,41289,12174,12929,35956,25190,2030,18060,12106,172,22856,4652,289,57671,86,14305,1,5413,4307,21918,29750,4,18089,18262,587,4342,32226,11860
665,49365,14382,38589,29849,41336,12201,12920,35996,25227,2031,18116,12156,173,22885,4673,293,57798,86,14351,1,5402,4310,21922,29807,4,18114,18267,584,4341,32280,11889
666,49415,14369,38553,29841,41367,12216,12928,35979,25235,2033,18135,12187,171,22920,4688,290,57887,85,14364,1,5392,4322,21930,29798,4,18102,18245,585,4354,32286,11904
667,49431,14349,38570,29851,41408,12243,12931,35947,25236,2038,18109,12206,174,22924,4671,289,57930,86,14368,1,5378,4322,21906,29796,4,18086,18239,584,4351,32279,11932
668,49396,14379,38606,29914,41419,12290,12926,35970,25277,2047,18150,12246,172,22950,4694,289,57961,86,14388,1,5390,4342,21941,29846,4,18134,18282,582,4360,32317,11962
669,49491,14423,38657,29977,41469,12327,12941,35988,25335,2049,18187,12269,173,23010,4714,289,58025,87,14419,1,5395,4359,21955,29874,4,18176,18301,580,4375,32317,11972
670,49348,14415,38610,29913,41398,12303,12897,35957,25291,2040,18184,12266,173,22912,4694,287,57998,86,14399,1,5378,4335,21939,29862,4,18144,18286,574,4362,32232,11946
671,49358,14393,38613,29936,41423,12295,12861,35953,25284,2043,18207,12263,175,22914,4692,286,58030,85,14376,1,5392,4336,21910,29834,4,18130,18268,575,4369,32219,11957
672,49465,14446,38718,29981,41511,12328,12874,35965,25352,2052,18264,12335,174,22991,4719,291,58163,86,14410,1,5400,4355,21946,29896,4,18147,18318,576,4378,32272,11999
673,49516,14464,38772,30014,41530,12323,12847,35985,25395,2050,18263,12355,176,23017,4724,296,58220,86,14426,1,5384,4352,21952,29912,4,18163,18349,574,4378,32275,12002
674,49488,14449,38764,30001,41496,12331,12822,35962,25374,2055,18263,12370,176,22993,4733,296,58219,87,14419,2,5377,4357,21895,29883,4,18168,18308,578,4364,32233,11988
675,49460,14449,38764,29965,41440,12327,12810,35890,25359,2052,18230,12392,176,22998,4732,297,58221,87,14409,2,5365,4352,21883,29884,4,18137,18280,579,4374,32171,11982
676,49524,14472,38823,30029,41466,12322,12798,35932,25409,2069,18235,12419,175,23020,4756,297,58299,89,14431,2,5375,4359,21885,29931,4,18187,18334,577,4376,32216,12006
677,49451,14499,38820,30014,41430,12330,12790,35913,25394,2064,18240,12421,175,22977,4736,300,58330,90,14439,2,5384,4355,21856,29922,4,18188,18314,582,4374,32150,11982
678,49497,14528,38903,30069,41504,12351,12795,35904,25422,2072,18256,12466,176,23044,4746,301,58387,91,14477,2,5389,4358,21856,29937,4,18199,18337,577,4391,32164,12020
679,49482,14527,38892,30090,41504,12338,12759,35905,25389,2076,18269,12461,176,22965,4748,305,58389,91,14455,2,5359,4366,21826,29916,4,18158,18333,575,4386,32123,12027
680,49550,14578,39019,30208,41604,12393,12786,35973,25475,2093,18346,12524,176,23018,4765,307,58515,91,14540,2,5371,4384,21888,30022,4,18251,18397,583,4407,32239,12069
681,49582,14642,39068,30283,41635,12437,12804,36007,25515,2101,18354,12580,176,23048,4775,310,58610,92,14572,2,5397,4389,21942,30067,4,18275,18452,589,4416,32318,12107
682,49449,14570,38968,30211,41500,12407,12716,35949,25419,2085,18293,12538,178,22958,4760,310,58500,91,14508,2,5368,4381,21885,29992,4,18219,18400,586,4391,32193,12045
683,49478,14614,39039,30240,41588,12430,12721,35993,25472,2093,18324,12573,182,22957,4776,309,58576,92,14556,2,5383,4390,21898,30071,4,18229,18427,585,4389,32225,12071
684,49572,14629,39033,30304,41684,12455,12748,35994,25479,2096,18391,12630,182,23030,4794,308,58673,94,14591,1,5384,4405,21879,30092,4,18281,18467,586,4404,32264,12126
685,49665,14670,39115,30391,41746,12500,12763,36028,25531,2094,18420,12679,182,23083,4815,305,58801,94,14643,1,5383,4428,21899,30163,4,18306,18523,581,4438,32302,12176
686,49648,14657,39138,30398,41725,12542,12773,36055,25511,2091,18422,12706,181,23108,4828,307,58831,93,14651,1,5393,4429,21902,30176,4,18328,18551,578,4437,32316,12167
687,49746,14690,39229,30444,41832,12583,12795,36093,25551,2100,18455,12741,181,23167,4832,310,58961,92,14687,1,5381,4438,21888,30210,4,18346,18592,576,4445,32382,12202
688,49621,14675,39178,30435,41748,12566,12777,36021,25517,2097,18427,12714,181,23158,4824,309,58949,92,14668,1,5386,4437,21873,30160,4,18361,18605,575,4422,32311,12199
689,49637,14690,39230,30463,41798,12578,12787,36037,25512,2097,18457,12731,182,23191,4826,311,59032,91,14695,1,5378,4426,21867,30145,4,18409,18618,575,4423,32304,12213
690,49675,14734,39315,30542,41866,12607,12795,36073,25556,2090,18493,12752,181,23261,4811,311,59120,91,14728,1,5391,4441,21898,30176,4,18441,18654,576,4435,32316,12245
691,49611,14727,39262,30518,41805,12589,12734,35977,25506,2086,18486,12733,182,23229,4779,309,59057,90,14714,1,5377,4441,21876,30121,4,18366,18574,569,4428,32219,12218
692,49590,14713,39279,30530,41774,12561,12726,35946,25502,2075,18483,12758,183,23233,4793,309,59010,89,14725,1,5359,4456,21854,30112,4,18395,18574,569,4423,32209,12219
693,49652,14785,39374,30603,41859,12609,12773,36010,25556,2080,18544,12816,183,23319,4809,309,59192,88,14770,1,5380,4472,21909,30222,4,18453,18622,578,4436,32284,12273
694,49638,14809,39384,30566,41804,12598,12736,35967,25523,2077,18532,12817,184,23279,4804,311,59175,88,14749,1,5364,4472,21906,30214,4,18439,18584,571,4435,32215,12265
695,49611,14801,39373,30600,41791,12596,12729,35988,25523,2083,18559,12833,186,23272,4808,313,59215,89,14767,1,5369,4487,21923,30239,4,18455,18575,569,4432,32238,12276
696,49641,14824,39373,30579,41801,12578,12683,35914,25520,2073,18515,12836,186,23338,4800,317,59208,91,14743,1,5355,4474,21861,30182,4,18434,18550,571,4439,32173,12270
697,49694,14877,39491,30637,41900,12607,12696,36062,25586,2072,18577,12884,187,23372,4818,318,59364,89,14783,1,5381,4486,21926,30245,4,18478,18608,570,4464,32232,12305
698,49662,14870,39467,30608,41889,12618,12686,36016,25537,2084,18569,12920,187,23332,4826,321,59342,90,14781,1,5375,4496,21871,30234,4,18442,18612,569,4460,32177,12300
699,49798,14928,39588,30708,41992,12671,12730,36078,25634,2094,18591,12967,189,23459,4852,320,59500,91,14826,1,5393,4514,21912,30351,4,18553,18671,569,4485,32237,12362
700,49780,14927,39529,30714,41983,12679,12723,36091,25605,2096,18609,13005,190,23463,4866,321,59488,89,14859,1,5399,4511,21862,30362,4,18563,18686,571,4491,32219,12382
701,49836,14922,39576,30769,42020,12724,12758,36097,25666,2088,18631,13051,191,23511,4874,319,59580,91,14905,1,5399,4518,21843,30412,5,18556,18665,572,4516,32244,12398
702,49866,14956,39690,30807,42077,12766,12753,36138,25727,2098,18683,13083,193,23532,4886,324,59666,90,14925,3,5422,4536,21897,30442,6,18593,18722,569,4532,32281,12425
703,49925,14998,39751,30919,42152,12784,12790,36177,25799,2106,18737,13138,193,23624,4890,327,59762,89,14952,3,5424,4553,21966,30503,7,18648,18780,571,4540,32283,12439
704,50047,15041,39831,31014,42228,12804,12810,36237,25856,2112,18770,13174,196,23702,4891,331,59888,88,14985,3,5448,4555,22026,30603,7,18699,18825,571,4550,32356,12447
705,49948,15040,39791,30980,42188,12784,12780,36228,25832,2111,18746,13170,196,23679,4893,330,59848,89,14969,3,5443,4547,21962,30585,7,18675,18791,564,4549,32308,12413
706,49892,14972,39772,30886,42117,12729,12731,36135,25776,2107,18667,13129,196,23573,4876,329,59780,89,14914,3,5425,4515,21897,30519,7,18627,18744,562,4517,32239,12376
707,49918,15009,39868,30940,42184,12766,12753,36177,25825,2128,18733,13182,196,23617,4909,328,59845,90,14982,3,5438,4531,21951,30563,7,18689,18795,565,4527,32256,12431
708,49938,14983,39887,30985,42229,12780,12766,36190,25845,2128,18730,13204,197,23654,4907,330,59876,90,15006,3,5419,4533,21933,30592,7,18688,18812,562,4523,32283,12430
709,49896,14957,39861,30988,42202,12756,12759,36162,25831,2121,18726,13198,196,23665,4895,329,59862,90,15000,3,5422,4533,21874,30560,7,18697,18809,563,4510,32247,12440
710,49889,14952,39875,30950,42154,12731,12719,36136,25791,2123,18707,13183,196,23629,4891,329,59899,90,14996,1,5404,4516,21890,30556,7,18673,18776,564,4502,32213,12395
711,50020,14990,39938,30979,42233,12765,12719,36135,25846,2126,18722,13232,200,23681,4902,329,60084,90,15045,3,5393,4507,21870,30588,7,18677,18803,562,4520,32224,12404
712,50000,14997,39925,31023,42241,12732,12715,36140,25842,2121,18735,13256,202,23690,4911,328,60103,90,15040,3,5389,4505,21824,30570,7,18685,18806,562,4524,32225,12403
713,49972,14992,39936,31047,42253,12748,12715,36100,25843,2115,18754,13302,202,23712,4916,327,60109,92,15041,3,5348,4517,21733,30549,7,18662,18787,557,4535,32201,12427
714,50000,15031,40020,31136,42366,12823,12764,36201,25926,2118,18831,13368,205,23800,4947,330,60190,95,15115,3,5372,4574,21780,30648,7,18785,18861,561,4552,32276,12472
715,49934,15000,39963,31048,42315,12801,12718,36183,25885,2122,18806,13361,205,23735,4925,328,60112,95,15095,3,5332,4564,21704,30620,7,18738,18841,556,4549,32213,12460
716,49905,15001,39948,31020,42325,12818,12716,36141,25885,2109,18773,13350,210,23736,4925,324,60044,94,15086,3,5311,4563,21620,30606,7,18746,18815,557,4559,32192,12467
717,50068,15051,40043,31133,42445,12861,12735,36199,25925,2106,18831,13393,211,23840,4936,327,60221,95,15147,3,5322,4568,21683,30701,7,18801,18894,559,4591,32293,12494
718,50062,15020,40029,31112,42422,12870,12708,36216,25933,2096,18818,13417,212,23795,4937,330,60231,96,15155,3,5320,4564,21664,30685,7,18761,18888,563,4582,32270,12485
719,50033,15055,40025,31104,42380,12889,12683,36206,25929,2096,18800,13431,212,23808,4944,330,60224,96,15138,3,5314,4571,21662,30681,7,18744,18896,566,4584,32231,12484
720,49924,14975,39940,30978,42240,12797,12593,36060,25824,2067,18695,13383,209,23692,4909,325,60097,97,15066,3,5296,4535,21575,30593,7,18657,18797,562,4563,32086,12411
721,50005,14967,39951,30973,42272,12803,12591,36059,25835,2069,18704,13404,209,23731,4915,328,60166,96,15100,3,5279,4549,21583,30616,7,18689,18802,565,4553,32071,12408
722,50032,15020,40060,31067,42369,12838,12630,36112,25905,2067,18779,13463,209,23789,4929,331,60254,96,15137,3,5304,4564,21611,30681,7,18757,18891,564,4588,32158,12442
723,50077,15026,40044,31069,42405,12845,12661,36090,25863,2063,18767,13453,209,23816,4938,331,60243,96,15158,3,5303,4569,21576,30669,7,18750,18881,568,4584,32158,12448
724,50006,14971,40030,31015,42389,12823,12608,36059,25870,2066,18750,13414,209,23754,4928,327,60179,97,15113,3,5287,4558,21527,30652,7,18713,18866,565,4557,32104,12434
725,49972,14913,39960,30930,42323,12794,12574,36008,25825,2060,18728,13402,207,23694,4899,324,60114,95,15071,3,5275,4540,21511,30595,7,18670,18841,565,4564,32037,12411
726,49813,14882,39867,30842,42157,12768,12515,35905,25706,2046,18649,13345,206,23555,4865,324,59998,96,15021,3,5253,4530,21452,30545,7,18611,18814,568,4552,31910,12372
727,49934,14940,39978,30922,42255,12813,12532,35964,25769,2059,18705,13429,207,23602,4889,328,60143,93,15062,3,5255,4537,21520,30604,7,18662,18855,569,4583,32010,12400
728,49946,14906,39923,30897,42272,12764,12469,35919,25727,2049,18642,13404,206,23557,4867,323,60137,94,15036,3,5217,4516,21420,30510,7,18633,18792,569,4553,31949,12378
729,49854,14849,39947,30865,42231,12763,12443,35888,25677,2047,18605,13378,205,23535,4858,323,60056,94,14996,3,5202,4498,21401,30453,7,18607,18764,568,4548,31905,12379
730,49806,14849,39905,30863,42225,12756,12415,35841,25699,2052,18585,13386,200,23557,4848,323,60017,94,14993,3,5186,4492,21342,30418,7,18632,18761,568,4547,31907,12358
731,49813,14831,39974,30865,42234,12745,12409,35843,25709,2051,18552,13361,200,23499,4829,328,60063,92,14968,3,5182,4490,21320,30438,7,18635,18786,569,4536,31870,12340
732,49869,14869,40007,30885,42281,12769,12438,35884,25739,2057,18586,13384,202,23552,4834,329,60166,90,15007,3,5196,4492,21363,30462,7,18685,18817,566,4547,31883,12355
733,49796,14837,39937,30807,42246,12730,12394,35790,25660,2052,18562,13382,199,23496,4819,330,60052,89,14969,3,5174,4483,21313,30399,7,18641,18777,565,4538,31818,12337
734,49813,14849,39955,30840,42259,12747,12393,35854,25709,2054,18577,13401,199,23514,4828,331,60072,89,14976,3,5186,4492,21365,30427,7,18663,18783,568,4534,31871,12367
735,49913,14936,40068,30964,42393,12819,12448,35996,25802,2082,18649,13458,197,23603,4846,337,60204,90,15076,3,5214,4519,21488,30555,7,18730,18909,575,4564,31919,12442
736,49886,14889,40014,30925,42334,12803,12384,35938,25749,2074,18605,13457,196,23561,4828,339,60170,87,15029,3,5203,4497,21393,30542,7,18683,18886,573,4536,31834,12411
737,49802,14856,39997,30895,42244,12788,12331,35888,25702,2077,18592,13439,196,23536,4798,336,60116,88,15012,3,5186,4497,21344,30521,7,18634,18873,573,4535,31781,12358
738,49791,14848,40005,30866,42245,12784,12329,35854,25686,2081,18608,13435,196,23537,4796,334,60114,86,15022,3,5174,4498,21334,30486,7,18623,18876,566,4527,31797,12355
739,49755,14783,39941,30813,42143,12712,12274,35761,25625,2073,18557,13390,194,23481,4788,332,60033,85,14999,3,5155,4480,21289,30405,7,18577,18852,572,4508,31770,12299
740,49834,14804,39996,30907,42205,12741,12268,35847,25663,2065,18574,13412,194,23530,4799,331,60104,86,15010,3,5160,4487,21358,30439,7,18610,18901,570,4524,31777,12321
741,49785,14775,39894,30834,42154,12688,12201,35752,25602,2044,18509,13351,191,23427,4783,328,60007,83,14940,3,5138,4454,21266,30347,7,18525,18849,562,4517,31661,12266
